generated_utc,candle_time,price,action,equity_eur,cash_eur,btc_qty,allocation_pct,return_pct,buy_hold_return_pct,alpha_vs_buy_hold_pct,max_drawdown_pct
2026-07-14T16:10:48+00:00,,64855.2,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T17:43:14+00:00,,64462.7,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14T21:32:27+00:00,,64647.56,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T03:46:37+00:00,,64654.3,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T06:38:22+00:00,,65000.99,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T10:23:42+00:00,,64683.3,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T14:23:23+00:00,,65299.08,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T17:50:29+00:00,,65021.8,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T21:32:13+00:00,,64856.39,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16T03:49:25+00:00,,64559.79,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16T07:03:51+00:00,,64746.5,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16T10:30:22+00:00,,64212.0,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16T14:35:35+00:00,,64750.8,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16T17:48:29+00:00,,64110.6,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16T21:36:20+00:00,,64175.12,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17T03:49:27+00:00,,63560.7,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17T06:41:39+00:00,,62880.27,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17T10:20:49+00:00,,63110.2,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17T14:14:19+00:00,,63421.53,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17T17:41:38+00:00,,64000.7,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17T21:24:48+00:00,,64162.11,HOLD,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
